Bepaling,BepalingCode,count,mean,std,min,25%,50%,75%,max,include,group
Temp-patient (DTMP),DTMP;BL,313204,36.99984,0.027843,26,37,37,37,38.6,0,
K (onv.ISE),P_KA_HB,292915,4.250611,0.579631,1,3.9,4.2,4.5,24.5,1,POTASSIUM
pCO2,P_PCO2P_HB,292603,5.943147,1.702936,0.9,4.9,5.6,6.6,32.9,1,PCO2
Na (onv.ISE),P_NA_HB,292226,139.8111,5.341465,92,136,139,143,199,1,SODIUM
Glucose bloedgas,P_GLUC_HB,291776,8.2982,2.666774,0.1,6.7,7.9,9.3,59,1,GLUCOSE
pH,P_PH_HB,291509,7.382325,0.09532,6.44,7.34,7.4,7.45,7.95,1,PH
Hb(v.Bgs),P_HB_HB,290823,6.335378,1.299314,0,5.3,6.1,7.2,16,1,HB
OxyHb-Fr.,P_FO2HB_HB,290819,0.919517,0.086634,0.04,0.92,0.94,0.96,0.997,0,
Caion(7.4),P_CA_HB,290364,1.164867,0.101887,0.2,1.12,1.17,1.22,8.65,0,
Act.Hco3,P_AHCO3_HB,290159,25.75389,5.993686,1.2,22.2,25.2,28.9,238.6,1,BICARBONATE
Ht(v.Bgs),P_HCT_HB,290003,0.313627,0.063083,0.01,0.27,0.3,0.35,0.78,0,
sO2,P_O2SAT_HB,289961,0.936053,0.087679,0.04,0.94,0.96,0.98,1,0,
pO2,P_PO2P_HB,288540,11.93475,5.912259,0.1,9.2,10.7,12.83,91.3,1,PO2
Cl (onv.ISE),P_CL_HB,288526,107.3464,6.018292,60,104,107,111,209,1,CHLORIDE
Met-Hb,P_METHB_HB,288506,0.662326,0.440412,0,0.4,0.6,0.9,68.9,0,
B.E.,P_BE_HB,287609,0.820877,6.00683,-37.4,-2.4,0.9,4.4,48.3,0,
Co-Hb,P_COHB_HB,286899,1.151055,0.596198,0,0.8,1.1,1.5,41.2,0,
O2-Content,P_O2CO_HB,286621,13.34575,2.949632,1,11,13,15,34,0,
Glucose DE. (DGLU),DGLU;BL,284037,8.246668,2.941757,0.6,6.5,7.7,9.3,55.2,1,GLUCOSE
Kalium DE.,DKAL;BL,281214,4.144638,0.674446,0.7,3.7,4,4.4,19.7,1,POTASSIUM
Anion-Gap,P_AGAP_HB,280683,6.855653,3.594977,0,4.5,6.3,8.5,80,0,
O2-hemoglob. (DO2S),DO2S;BL,272488,91.37202,9.970101,3,91.7,94.3,96.1,100,0,
Hemoglob. nc (DEHB),DEHB;BL,272445,6.345411,1.442144,1.2,5.2,6.1,7.3,15.3,0,
PO2 dec.,DPO2;BL,267234,12.67283,7.507591,0.9,9.1,10.6,12.9,104.9,1,PO2
PH dec.,DPH;BL,266589,7.402969,0.097365,6.24,7.35,7.42,7.47,7.78,1,PH
PCO2 dec.,DPCO;BL,265292,5.651413,1.732609,0.8,4.6,5.3,6.2,31.1,1,PCO2
Bicarbonaat (DBIC),DBIC;BL,265173,25.63567,6.441958,1.1,21.8,24.9,28.6,92.9,1,BICARBONATE
Base excess (DBE),DBE;BL,265155,0.759098,6.322975,-41,-2.9,0.5,4.2,61.4,0,
Lactaat,P_LACT_HB,263258,1.727234,1.970391,0.09,0.9,1.2,1.77,31,1,LACTATE
Met-hemoglob (DMEH),DMEH;BL,253129,0.299585,0.264972,0,0.2,0.3,0.4,23.5,0,
