class_pharmaceutical,class_therapeutic,atc,original_name,route,count,is_ab_med,is_sdd,target_atc,target_name,target_group,check,comment,is_antibiotic,is_medication,conversion_rate,concentration,dose_per_unit
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,"CAPTOPRIL CAPSULE 3,125MG",oraal,23,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL DRANK 1MG/ML,oraal,211,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL DRANK 1MG/ML,per duodenum sonde,8,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL DRANK 1MG/ML,per maag sonde,7,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL DRANK 1MG/ML,,47,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,"CAPTOPRIL TABLET 12,5MG",oraal,14713,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,"CAPTOPRIL TABLET 12,5MG",per duodenum sonde,194,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,"CAPTOPRIL TABLET 12,5MG",per jejunum sonde,94,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,"CAPTOPRIL TABLET 12,5MG",per maag sonde,3613,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,"CAPTOPRIL TABLET 12,5MG",,2252,0,,,,,,,,,,,
