,ab_duration_shortest_in_last_24h,adm_hosp_age,adm_hosp_oper__medical__ohe,atc_last_24h__g2__a0__ohe,atc_last_24h__g2__c0__ohe,atc_last_24h__g2__c1__ohe,atc_last_24h__g2__d0__ohe,atc_last_24h__g2__d1__ohe,atc_last_24h__g2__e0__ohe,atc_last_24h__g2__f0__ohe,atc_last_24h__g2__g0__ohe,atc_last_24h__g2__m0__ohe,atc_last_24h__g2__x0__ohe,atc_last_24h__g2__x1__ohe,atc_last_24h__g2__x2__ohe,bmi,bp_sys__event_m1d__min,crp__event_m3d__last,crp__event_m3d__trend,heart_rate__event_m1d__last,heart_rate__event_m1d__trend,is_sdd_within_14d_before_stop,is_sex__male,kreat__event_m1d__last,lactate__event_m3d__last,lactate__event_m3d__trend,leukocytes__event_m3d__last,leukocytes__event_m3d__trend,mic__is_positive__blood__event_m3d__any,mic__is_positive__sputum__event_m3d__any,mic__is_positive__tip__event_m3d__any,mic__is_positive__urine__event_m3d__any,mic__pathgen_high__event_m3d__ohe,mic__pathgen_low__event_m3d__ohe,mic__pathgen_medium__event_m3d__ohe,mic__pathgen_none__event_m3d__ohe,mic__pathgen_other__event_m3d__ohe,mic__sdd_positive__event_m3d__any,ph__arterial__event_m1d__max,ph__arterial__event_m1d__min,resp_rate__event_m1d__last,resp_rate__event_m1d__trend,sedation__event_m3d__any,sedation__event_m3d_m1d__any_increase_above_50p,start_on_icu,temperature__event_m1d__max,temperature__event_m1d__trend,trombocytes__event_m3d__last,trombocytes__event_m3d__trend
ab_duration_shortest_in_last_24h,1.0,-0.00942092568086404,-0.12149006440114817,0.04214935222796491,0.03892945960871867,0.03485227302491021,-0.19614628859394972,0.01097718607356185,0.03932334809109379,-0.013574195358136401,-0.041293723882106656,0.02149028191825751,0.041898389026360755,0.009726852659820564,0.03988143018209927,-0.03317842691712375,0.008824582159842696,-0.12642089470857587,-0.010611095869694318,0.0004231263680597872,0.05003239482665396,-0.12683268308113346,0.03115495264987058,-0.1041072022525619,-0.08374919514617504,0.034077477765765675,-0.04624048668205057,-0.0041488911716060116,-0.0624125608871283,-0.011448877802341538,-0.027557483336690777,-0.02434240491972412,-0.03548822603825285,-0.07177551814154269,-0.04949609157628823,-0.016060773704056418,-0.019178611320857852,0.10781097541690171,-0.01849900791918321,0.05064164934688412,0.025610589004660882,-0.0059979879839566095,0.061762968550354326,-0.0035501767347345553,-0.095885634761972,-0.0967051533554142,-0.03407012531043839,0.10217269141500238,-0.002175742160590866
adm_hosp_age,-0.00942092568086404,1.0,0.06493197321350676,-0.0021472142057059186,-0.04666807963721584,-0.003746673709063078,0.0644222046010851,-0.01166734886974612,-0.020075535749792515,0.026572295746270493,-0.03306842458664881,0.029535058241030285,-0.04688172631709727,0.0464725322435102,-0.019372850310350045,0.048797104534085145,-0.06346960041543333,0.019805209390309955,-0.027380110822064572,-0.15970828701896997,0.04220122636404311,0.10843821646968066,0.07240973449844111,0.05524931114341701,0.03493092084240392,0.04124891786936732,-0.005455814016843096,-0.0006251427764481124,0.00835818030040715,0.046711918361233444,0.019262028881484563,0.03203150038915703,0.0645593690052443,0.007238335865187092,0.022147847690103344,-0.04692387308862978,0.06243287187364912,-0.0005713920683302472,-0.024411509073302987,-0.03794396769181304,0.01282745354724335,-0.00802642890052143,-0.02541193055855666,-0.029797512350699606,-0.08403121948291559,-0.1537315473921279,-0.003767673176988095,-0.07487725663506163,-0.015018792102269717
adm_hosp_oper__medical__ohe,-0.12149006440114817,0.06493197321350676,1.0,0.01862994206829014,-0.08059926147341047,-0.045294131022762515,0.04784945084541662,0.019881569937514974,0.026878372799380282,-0.0031255640287954907,-0.05558906580180532,0.07633766100365423,-0.09504949323450684,-0.14480774486240916,-0.00518788818569502,0.04994243945493711,-0.06495470607371938,-0.013977468100839769,0.03179422338920302,-0.035592618300351465,-0.031648375634803855,0.0795346334540212,0.04923961288139881,0.0652793388843172,0.04796560945530487,0.0042980517463999095,-0.07721807137502217,0.019606513249771577,0.05983041814707915,0.04519799194241777,0.027738948595554314,-0.009977535948167447,0.027294089036630657,0.07266166407364806,0.07066166689066591,0.03435040285504048,0.005877221520812491,-0.06175653724654552,-0.12992825847880235,-0.13981816504648567,0.025192063499805687,-0.004763233720112066,-0.08393610635019744,-0.03556713675408109,0.01167251761504858,-0.020818398742115864,0.03250650258828309,-0.1147735272641424,0.007810309359084137
atc_last_24h__g2__a0__ohe,0.04214935222796491,-0.0021472142057059186,0.01862994206829014,1.0,-0.023638880013616317,-0.03042023570449004,-0.07773527545948374,-0.0278515187262806,-0.008077367583346342,-0.010251243192472422,-0.011291348241211674,-0.036458085753881216,-0.03899255649748276,-0.03536025205880826,0.10236622338548394,-0.002832586893370556,0.008269393518307131,-0.031514510169348864,-0.002524593363965553,-0.004206657950256156,-0.0030911701979924318,-0.05359989364159843,0.023327587303776293,-0.005446506155083788,-0.027826111906213844,0.004123052931818217,0.00449874515745609,0.00018663081949389556,-0.03565361455279246,0.0020721094020998217,-0.0030207464535939536,-0.01377059785276848,-0.013068479953281711,-0.03189568103268925,-0.012893860643005264,-0.019283253563444045,-0.015434837107405532,0.03528018325294741,-0.014817874581866959,-0.008874204227576305,0.006945229453666062,0.011467981301183369,7.132257024819765e-05,-0.012038248556135915,-0.0028477077354248687,-0.028939678490683546,0.0015405851574942207,0.060841581558557276,0.006750376193597788
atc_last_24h__g2__c0__ohe,0.03892945960871867,-0.04666807963721584,-0.08059926147341047,-0.023638880013616317,1.0,-0.1195345144722262,-0.12729237797265955,-0.08134230063479046,-0.05775446183761643,-0.03387352462554034,0.04527179872649367,-0.050348234824854024,-0.12629310548457345,-0.08754070654518468,-0.025122173703292963,-0.033423830985798035,0.009265903936750017,-0.031942793763967116,0.007298670915522245,-0.007287175496902315,-0.010980671994556922,-0.16529860374300398,0.01749782157635589,-0.05544090390581724,-0.015282610714366996,-0.016348179613996684,-0.007881870743087068,-0.0034477011927974257,-0.02173460123743452,-0.04837340406432089,-0.030278530970242055,0.009001837865088087,-0.05935463857799092,-0.003173474176600682,-0.00458724727398982,0.00029891630158816203,0.007146024248106277,-0.008319423958285221,0.010005851703252591,0.015158619587198106,-0.019392058902723566,-0.019060169055003334,0.03617523108860083,0.008419924626618058,-0.05812481027331772,0.014726678304865796,-0.0005877993380893743,0.034381547498074844,-0.03648640496614944
atc_last_24h__g2__c1__ohe,0.03485227302491021,-0.003746673709063078,-0.045294131022762515,-0.03042023570449004,-0.1195345144722262,1.0,-0.3006048072579039,-0.09534799108694432,-0.07161960924757235,-0.015661508806808614,0.007340534833459818,-0.11300954025785238,-0.1451320037309055,-0.10078422355135842,-0.029466783115290968,-0.0021838533543812647,-0.029410210629502356,0.024607986291683325,-0.006202782819694581,0.04539363089995894,0.009234392158067393,-0.22467777687278,0.013516210235476007,0.04282261606287144,-0.03979208609127299,0.015453167077673283,-0.014669763809216831,-0.007577920381774945,0.06514213930565732,0.04072244183371138,0.04199503984059279,0.0008344513387756779,0.09381659518886697,0.013974536833311605,0.0017435111174225256,0.03106775079299964,0.00648661059775024,-0.04421102905444195,-0.0035762245025782206,0.016693431251905266,0.00793931076560549,-0.007931894660826912,0.05368459724710679,0.016427843653901,0.028678724543523493,-0.016323807841714503,0.003693023696945803,0.06391956232230453,-0.001626701900700791
atc_last_24h__g2__d0__ohe,-0.19614628859394972,0.0644222046010851,0.04784945084541662,-0.07773527545948374,-0.12729237797265955,-0.3006048072579039,1.0,-0.2529767062980331,-0.1718577738568736,-0.08620001992073006,-0.04778684947914579,-0.1644280898440332,-0.1554620009162374,0.023437170642740982,-0.06469427160601865,0.008355505065879235,0.07998377395617935,-0.01250155990686756,0.02072996915232551,-0.09105999406202075,0.015215136902943707,0.6595796234503759,-0.006480459968468894,0.005114371546876854,0.013045408487270175,-0.011112140481042187,-0.015397996687902977,-0.003964552383863568,-0.0753527221461419,0.015291350590304217,-0.06778730379993533,0.007766748841160119,-0.005567867874771206,-0.06637430524703869,-0.09146314324571302,-0.01146768178613749,0.027432214330975868,-0.03794812355429271,0.07507670450709718,0.05716210684331884,-0.05381530021222566,0.003787390620901217,-0.08642638422030913,-0.007368003201919678,-0.008881212721507381,-0.014406916268273427,0.004492132880829399,-0.06263127161824868,-0.015439282428382864
atc_last_24h__g2__d1__ohe,0.01097718607356185,-0.01166734886974612,0.019881569937514974,-0.0278515187262806,-0.08134230063479046,-0.09534799108694432,-0.2529767062980331,1.0,-0.01897991165232934,-0.02862264734721599,-0.03152673999775239,-0.10554837852583186,0.09044442997718675,-0.07513800926908873,0.006791537949378986,0.0032220390887707216,-0.03715765744222672,0.041700478659220795,0.018462872784893832,0.07525760931895788,0.011866023547621191,-0.17334704434896456,0.0031021739297023695,0.02206298440503879,0.026718719947144212,0.008046424060376882,-0.016525169857280114,0.0057454943701475926,0.01765690785436529,0.007222556515020318,0.019350474921635965,0.016406005441141177,0.015409138499333995,0.021943918788848212,0.01520181691208565,0.03564098063895411,0.005524463743454853,-0.03348404963095788,-0.0057316115105655995,-0.011790646877263255,0.06950809595064382,0.021230912226069185,0.004676401461125002,0.005409807341769388,-0.04841901601723448,0.011749926425820567,-0.009973118153604075,-0.0385479317815488,0.03890384530438711
atc_last_24h__g2__e0__ohe,0.03932334809109379,-0.020075535749792515,0.026878372799380282,-0.008077367583346342,-0.05775446183761643,-0.07161960924757235,-0.1718577738568736,-0.01897991165232934,1.0,-0.009029165193388445,-0.012456005552259328,-0.05165500241997943,-0.058019828514266715,-0.021345588889785598,0.01876239478695972,-0.02639746392968608,-0.02747099983330492,-0.02474110479060137,0.004679866043147668,0.0033623213529221673,0.004681741091809004,-0.12508681672399982,-0.0005024679932939265,-0.03832632783321336,-0.00856525331186547,0.014476533689985058,0.02271131009858855,0.039663623647450595,-0.0013080590495515897,0.046692618880247776,0.02691706750998879,-0.019896571195570513,0.050757012812872655,-0.001352701540553978,0.04360467885590336,-0.019868241747026158,-0.014070381816272204,0.06668740893525107,-0.031603301432135134,-0.018318452997469786,0.02329048132415612,-0.020443815439019637,0.032034155624719604,0.000360412994270852,0.0016675787284490028,-0.033905050870546884,-0.017714827957402382,0.03644658431928453,6.808714519984633e-05
atc_last_24h__g2__f0__ohe,-0.013574195358136401,0.026572295746270493,-0.0031255640287954907,-0.010251243192472422,-0.03387352462554034,-0.015661508806808614,-0.08620001992073006,-0.02862264734721599,-0.009029165193388445,1.0,-0.011603973268353619,-0.0012577235945310026,-0.0333835804593504,-0.027753804030951353,-0.007813296045329191,0.014395370935362488,0.007591355340210631,-0.012861555748008258,-0.0039383614597439985,0.018747067654354625,0.008734011375252275,-0.05177304420320808,-0.007885220355064176,0.004388736668422193,-0.0038535603655398816,0.011275730359537838,-0.003840670947302426,0.00065318426973995,-0.0025182331781733107,-0.033744487463740896,-0.019019253299854943,-0.01415186618632054,-0.02581941206527293,-0.012228499320456167,-0.006840893103962008,-0.016677117315662023,-0.009260711107739638,-0.013504504960727543,-0.007583453329333777,-0.008126978763562475,0.025004645401762924,0.014520362714581193,-0.015238120301435372,-0.030195933421698174,-0.03147414631842063,-0.023336169038361988,0.006390112509867672,-0.0018699928143678707,-0.00494393900363619
