,train,test,val
accuracy,0.7519247219846023,0.6684563758389261,0.702846975088968
balanced_accuracy_score,0.7633152351824313,0.6215804597701149,0.6658869514146263
roc_auc,0.8423683792100414,0.6662413793103449,0.7217834214310307
average_precision,0.5604480297534427,0.3379880883304527,0.35660443366201827
precision,0.4246411483253589,0.3038461538461538,0.3473684210526316
recall,0.7819383259911894,0.5448275862068965,0.6055045871559633
specificity,0.744692144373673,0.6983333333333334,0.7262693156732892
f1,0.5503875968992248,0.39012345679012345,0.4414715719063545
positive,454.0,145.0,109.0
negative,1884.0,600.0,453.0
all,2338.0,745.0,562.0
