,leaf_index,leaf_value,leaf_weight,leaf_count,tree_index,split_index,depth,split_feature,split_gain,threshold,decision_type,default_left,missing_type,internal_value,internal_weight,internal_count
0,0,-1.3944433530432316,13.135709553956984,43,0,11,4,33,26.25819969177246,20.250000000000004,<=,True,NaN,-1.40628,44.0704,184
1,12,-1.4148025368184596,6.0163989663124084,29,0,26,6,0,8.916290283203125,-0.15102870172172997,<=,False,NaN,-1.42413,14.646,81
2,27,-1.4306371352875134,8.629617989063265,52,0,26,6,0,8.916290283203125,-0.15102870172172997,<=,False,NaN,-1.42413,14.646,81
3,13,-1.3998289840257863,16.28866846859455,60,0,12,5,32,45.57569885253906,-0.006637210838056949,<=,True,NaN,-1.41133,30.9347,141
4,3,-1.4065033448459598,15.748933479189871,66,0,7,4,28,36.49810028076172,72.50000000000001,<=,True,NaN,-1.39224,124.785,388
5,8,-1.3894751091638133,16.225939735770226,47,0,28,8,12,6.7510199546813965,37.45000076293946,<=,False,NaN,-1.39405,32.0452,104
6,29,-1.3987729629575218,15.819241061806677,57,0,28,8,12,6.7510199546813965,37.45000076293946,<=,False,NaN,-1.39405,32.0452,104
7,22,-1.4068552555291745,13.04196462035179,55,0,21,7,2,15.092000007629395,1e+300,<=,False,NaN,-1.39774,45.0871,159
8,16,-1.3866177980648544,24.620499208569527,66,0,15,6,12,19.531999588012695,37.95000076293946,<=,True,NaN,-1.3938,69.7076,225
9,14,-1.3896353744464522,17.18823440372944,50,0,25,6,28,10.055000305175781,95.50000000000001,<=,True,NaN,-1.38378,39.3286,97
10,26,-1.379278792232458,22.140319988131523,47,0,25,6,28,10.055000305175781,95.50000000000001,<=,True,NaN,-1.38378,39.3286,97
11,1,-1.4055254550502954,13.84777542948723,57,0,23,8,44,17.114099502563477,1.2549999952316286,<=,False,NaN,-1.39816,24.4564,87
12,24,-1.388595433459922,10.608661487698553,30,0,23,8,44,17.114099502563477,1.2549999952316286,<=,False,NaN,-1.39816,24.4564,87
13,23,-1.3947513004619754,14.254481807351114,47,0,24,8,35,13.944600105285645,24.94999980926514,<=,True,NaN,-1.38765,28.6261,79
14,25,-1.3806672299078862,14.371665775775908,32,0,24,8,35,13.944600105285645,24.94999980926514,<=,True,NaN,-1.38765,28.6261,79
15,15,-1.4056888918147097,16.71122346818447,69,0,14,6,15,22.03350067138672,1.0000000180025095e-35,<=,True,None,-1.39564,69.7938,235
16,6,-1.4306371379284661,8.629621028900152,52,0,27,8,37,8.80090045928955,7.445500135421754,<=,True,NaN,-1.42349,17.3295,95
17,28,-1.4164020637386276,8.699928015470503,43,0,27,8,37,8.80090045928955,7.445500135421754,<=,True,NaN,-1.42349,17.3295,95
18,21,-1.408359882061259,12.236147999763487,53,0,20,7,35,16.43950080871582,23.650000572204593,<=,True,NaN,-1.41722,29.5657,148
19,7,-1.3948852276590675,21.459955394268036,71,0,6,6,27,62.049198150634766,2.7550098055156753,<=,False,NaN,-1.40782,51.0257,219
20,4,-1.435432542271084,8.293231740593908,53,0,29,6,0,6.647890090942383,0.45521940282277756,<=,True,NaN,-1.42965,14.286200000000001,85
21,30,-1.421621388094241,5.992962032556533,32,0,29,6,0,6.647890090942383,0.45521940282277756,<=,True,NaN,-1.42965,14.286200000000001,85
22,5,-1.4103603156272624,8.253936678171163,37,0,18,9,0,30.384199142456055,0.15944538026010702,<=,False,NaN,-1.425,19.8332,111
23,19,-1.435441738016564,11.579224750399584,74,0,18,9,0,30.384199142456055,0.15944538026010702,<=,False,NaN,-1.425,19.8332,111
24,18,-1.4029582840817794,12.752449497580526,50,0,17,8,33,37.75910186767578,29.350000000000005,<=,True,NaN,-1.4163700000000001,32.5856,161
25,17,-1.416191161347122,10.757552996277811,53,0,19,8,37,25.818599700927734,7.508499860763551,<=,True,NaN,-1.40462,24.2062,98
26,20,-1.395396407291402,13.448664173483847,45,0,19,8,37,25.818599700927734,7.508499860763551,<=,True,NaN,-1.40462,24.2062,98
27,9,-1.3938387960692527,13.941529259085653,45,0,8,6,32,34.34519958496094,0.028601300668151353,<=,True,NaN,-1.4079,70.7334,304
