,train,test,val
accuracy,0.6911890504704876,0.661744966442953,0.6654804270462633
balanced_accuracy_score,0.6671144439144383,0.6226436781609195,0.6357413370597647
roc_auc,0.732044483103716,0.6753333333333333,0.7013386799522044
average_precision,0.3832782559638862,0.34449341731648914,0.3554018158621076
precision,0.34009546539379476,0.30111524163568776,0.30917874396135264
recall,0.6277533039647577,0.5586206896551724,0.5871559633027523
specificity,0.7064755838641189,0.6866666666666666,0.6843267108167771
f1,0.4411764705882353,0.391304347826087,0.4050632911392405
positive,454.0,145.0,109.0
negative,1884.0,600.0,453.0
all,2338.0,745.0,562.0
