,train,test,val
accuracy,0.6710863986313088,0.6483221476510067,0.6441281138790036
balanced_accuracy_score,0.6713595592843047,0.6352298850574712,0.643396723170707
roc_auc,0.732044483103716,0.6753333333333333,0.7013386799522044
average_precision,0.3832782559638862,0.34449341731648914,0.3554018158621076
precision,0.32972972972972975,0.3016949152542373,0.30303030303030304
recall,0.6718061674008811,0.6137931034482759,0.6422018348623854
specificity,0.6709129511677282,0.6566666666666666,0.6445916114790287
f1,0.4423495286439449,0.40454545454545454,0.4117647058823529
positive,454.0,145.0,109.0
negative,1884.0,600.0,453.0
all,2338.0,745.0,562.0
