,,mean,std
AutoPrognosis,accuracy,0.805,0.001
AutoPrognosis,balanced_accuracy_score,0.5,0.0
AutoPrognosis,rocauc,0.666,0.008
AutoPrognosis,average_precision,0.355,0.011
AutoPrognosis,precision,0.0,0.0
AutoPrognosis,recall,0.0,0.0
AutoPrognosis,specificity,1.0,0.0
AutoPrognosis,f1,0.0,0.0
AutoPrognosis,size,670.5,0.527
AutoPrognosis,pos,130.5,0.527
AutoPrognosis__calibrated,accuracy,0.797,0.003
AutoPrognosis__calibrated,balanced_accuracy_score,0.563,0.005
AutoPrognosis__calibrated,rocauc,0.666,0.008
AutoPrognosis__calibrated,average_precision,0.355,0.011
AutoPrognosis__calibrated,precision,0.448,0.017
AutoPrognosis__calibrated,recall,0.179,0.011
AutoPrognosis__calibrated,specificity,0.947,0.003
AutoPrognosis__calibrated,f1,0.256,0.013
AutoPrognosis__calibrated,size,670.5,0.527
AutoPrognosis__calibrated,pos,130.5,0.527
