,test,test,test__calibrated,test__calibrated,train,train,train__calibrated,train__calibrated
level_0,average,std,average,std,average,std,average,std
level_1,,,,,,,,
accuracy,0.1945945945945946,0.003350304980502715,0.6737837837837838,0.028841620409884517,0.19413793103448276,0.0009794171869838399,0.7203448275862069,0.02021833217663505
aucprc,0.3870315403161894,0.06685590426975833,0.3870315403161894,0.06685590426975833,0.43077587494794367,0.03294746666272995,0.43077587494794367,0.03294746666272995
aucroc,0.6693650793650793,0.03853964154439385,0.6693650793650793,0.03853964154439385,0.7526145581572508,0.021079583516496133,0.7526145581572508,0.021079583516496133
f1_score_macro,0.1628787878787879,0.0023477515961856125,0.5780866949527304,0.02319345921622729,0.1625743365927604,0.0006860537507732713,0.6381605721042934,0.022913240921897577
f1_score_micro,0.1945945945945946,0.003350304980502715,0.6737837837837838,0.028841620409884517,0.19413793103448276,0.0009794171869838399,0.7203448275862069,0.02021833217663505
f1_score_weighted,0.06343161343161342,0.002005106768634203,0.6996049093749519,0.022512647710417322,0.06312718888344471,0.0005867268724211289,0.7436036983619138,0.017683667738458697
kappa,0.0,0.0,0.1802130962967278,0.04201592504372172,0.0,0.0,0.293279926248867,0.043222882583935265
kappa_quadratic,0.0,0.0,0.1802130962967278,0.04201592504372172,0.0,0.0,0.293279926248867,0.043222882583935265
mcc,0.0,0.0,0.1934621591288833,0.04553379093672735,0.0,0.0,0.3112806821055414,0.04361252834085477
precision_binary,0.1945945945945946,0.003350304980502715,0.30530424110264703,0.028667968075344153,0.19413793103448276,0.0009794171869838399,0.371691650526855,0.029376522613955677
precision_macro,0.0972972972972973,0.0016751524902513576,0.5827038851792714,0.019518248124931206,0.09706896551724138,0.0004897085934919199,0.6315641073945749,0.0195606656982774
precision_micro,0.1945945945945946,0.003350304980502715,0.6737837837837838,0.028841620409884517,0.19413793103448276,0.0009794171869838399,0.7203448275862069,0.02021833217663505
precision_weighted,0.0378962746530314,0.0013039024788983537,0.7522109732971075,0.01429581096742926,0.037692033293697975,0.0003816349728592208,0.7905492834498329,0.013488536000459279
recall_binary,1.0,0.0,0.5152380952380952,0.06722332928381335,1.0,0.0,0.625062656641604,0.032850452530457354
recall_macro,0.5,0.0,0.613452380952381,0.02718718856782035,0.5,0.0,0.6841675485621725,0.0242996933053461
recall_micro,0.1945945945945946,0.003350304980502715,0.6737837837837838,0.028841620409884517,0.19413793103448276,0.0009794171869838399,0.7203448275862069,0.02021833217663505
recall_weighted,0.1945945945945946,0.003350304980502715,0.6737837837837838,0.028841620409884517,0.19413793103448276,0.0009794171869838399,0.7203448275862069,0.02021833217663505
