,,mean,std
LogisticRegression,accuracy,0.648,0.005
LogisticRegression,balanced_accuracy_score,0.635,0.005
LogisticRegression,rocauc,0.675,0.008
LogisticRegression,average_precision,0.345,0.010
LogisticRegression,precision,0.302,0.005
LogisticRegression,recall,0.614,0.009
LogisticRegression,specificity,0.657,0.006
LogisticRegression,f1,0.405,0.006
LogisticRegression,size,670.500,0.527
LogisticRegression,pos,130.500,0.527
LogisticRegression_calibrated,accuracy,0.662,0.005
LogisticRegression_calibrated,balanced_accuracy_score,0.623,0.006
LogisticRegression_calibrated,rocauc,0.675,0.008
LogisticRegression_calibrated,average_precision,0.345,0.010
LogisticRegression_calibrated,precision,0.301,0.006
LogisticRegression_calibrated,recall,0.559,0.011
LogisticRegression_calibrated,specificity,0.687,0.007
LogisticRegression_calibrated,f1,0.391,0.006
LogisticRegression_calibrated,size,670.500,0.527
LogisticRegression_calibrated,pos,130.500,0.527
LGBMClassifier,accuracy,0.805,0.001
LGBMClassifier,balanced_accuracy_score,0.500,0.000
LGBMClassifier,rocauc,0.666,0.006
LGBMClassifier,average_precision,0.339,0.011
LGBMClassifier,precision,0.000,0.000
LGBMClassifier,recall,0.000,0.000
LGBMClassifier,specificity,1.000,0.000
LGBMClassifier,f1,0.000,0.000
LGBMClassifier,size,670.500,0.527
LGBMClassifier,pos,130.500,0.527
LGBMClassifier_calibrated,accuracy,0.668,0.005
LGBMClassifier_calibrated,balanced_accuracy_score,0.622,0.006
LGBMClassifier_calibrated,rocauc,0.666,0.006
LGBMClassifier_calibrated,average_precision,0.339,0.011
LGBMClassifier_calibrated,precision,0.304,0.006
LGBMClassifier_calibrated,recall,0.545,0.012
LGBMClassifier_calibrated,specificity,0.698,0.006
LGBMClassifier_calibrated,f1,0.390,0.007
LGBMClassifier_calibrated,size,670.500,0.527
LGBMClassifier_calibrated,pos,130.500,0.527
