,,0.0,0.0,1.0,1.0
,,Value,"Missing, N (%)",Value,"Missing, N (%)"
Feature,Aggregate,,,,
"Age, years",Median [IQR],"61.0 [51.0, 69.0]",0.0 (0.0%),"65.0 [54.0, 72.0]",0.0 (0.0%)
Sex,,,,,
- Male,N (%),1297 (62.6%),0.0 (0.0%),1137 (72.28%),0.0 (0.0%)
- Female,N (%),775 (37.4%),0.0 (0.0%),436 (27.72%),0.0 (0.0%)
BMI,Median [IQR],"26.4 [23.49, 30.5]",80.0 (3.86%),"26.1 [23.2, 29.8]",55.0 (3.5%)
Hospital,,,,,
- AMC,N (%),2072 (100.0%),0.0 (0.0%),0 (0.0%),0.0 (0.0%)
- VUMC,N (%),0 (0.0%),0.0 (0.0%),1573 (100.0%),0.0 (0.0%)
"Admission, type",,,,,
- Medical,N (%),911 (43.97%),0.0 (0.0%),775 (49.27%),0.0 (0.0%)
- Surgical,N (%),1161 (56.03%),0.0 (0.0%),798 (50.73%),0.0 (0.0%)
"Admission, route",,,,,
- Elective,N (%),543 (26.21%),3.0 (0.14%),391 (24.86%),0.0 (0.0%)
- Unplanned,N (%),1526 (73.65%),3.0 (0.14%),1182 (75.14%),0.0 (0.0%)
"Admission, specialism",,,,,
- Surgery,N (%),445 (21.48%),0.0 (0.0%),476 (30.26%),0.0 (0.0%)
- Internal medicine,N (%),356 (17.18%),0.0 (0.0%),342 (21.74%),0.0 (0.0%)
- Pulmonology,N (%),206 (9.94%),0.0 (0.0%),328 (20.85%),0.0 (0.0%)
- Neurology,N (%),253 (12.21%),0.0 (0.0%),82 (5.21%),0.0 (0.0%)
- Cardiology,N (%),211 (10.18%),0.0 (0.0%),102 (6.48%),0.0 (0.0%)
- Emergency medicine,N (%),151 (7.29%),0.0 (0.0%),56 (3.56%),0.0 (0.0%)
- Cardiothoracic surgery,N (%),139 (6.71%),0.0 (0.0%),60 (3.81%),0.0 (0.0%)
- Neurosurgery,N (%),127 (6.13%),0.0 (0.0%),25 (1.59%),0.0 (0.0%)
- Gastroenterology,N (%),51 (2.46%),0.0 (0.0%),28 (1.78%),0.0 (0.0%)
- Missing,N (%),0 (0.0%),0.0 (0.0%),0 (0.0%),0.0 (0.0%)
"ATC group, last 24h",,,,,
- Tetracyclines,,,,,
"- Beta-lactam, penicillins",,,,,
- Other beta-lactam,,,,,
"- Sulfonamides, trimethoprim",,,,,
"- Macrolides, lincosamides & streptogramins",,,,,
- Aminoglycosides,,,,,
- Quinolones,,,,,
- Other antibacterials,,,,,
- Vancomycin,,,,,
"Antibiotics, last 24h",,,,,
- Tetracyclines,N (%),10 (0.48%),0.0 (0.0%),26 (1.65%),0.0 (0.0%)
"- Amoxicillin, incl. B-lactam",N (%),237 (11.44%),0.0 (0.0%),121 (7.69%),0.0 (0.0%)
- Penicillins,N (%),232 (11.2%),0.0 (0.0%),243 (15.45%),0.0 (0.0%)
- Cephalosporins,N (%),982 (47.39%),0.0 (0.0%),738 (46.92%),0.0 (0.0%)
- Carbapenems,N (%),162 (7.82%),0.0 (0.0%),101 (6.42%),0.0 (0.0%)
- Cotrimoxazole,N (%),64 (3.09%),0.0 (0.0%),98 (6.23%),0.0 (0.0%)
- Macrolides & Lincosamides,N (%),19 (0.92%),0.0 (0.0%),19 (1.21%),0.0 (0.0%)
- Aminoglycosides,N (%),40 (1.93%),0.0 (0.0%),6 (0.38%),0.0 (0.0%)
- Fluoroquinolones,N (%),297 (14.33%),0.0 (0.0%),295 (18.75%),0.0 (0.0%)
- Vancomycin,N (%),414 (19.98%),0.0 (0.0%),230 (14.62%),0.0 (0.0%)
- Metronidazol,N (%),251 (12.11%),0.0 (0.0%),155 (9.85%),0.0 (0.0%)
- Others,N (%),12 (0.58%),0.0 (0.0%),9 (0.57%),0.0 (0.0%)
"Antibiotics, first 24h",,,,,
- Tetracyclines,N (%),9 (0.43%),0.0 (0.0%),19 (1.21%),0.0 (0.0%)
"- Amoxicillin, incl. B-lactam",N (%),264 (12.74%),0.0 (0.0%),142 (9.03%),0.0 (0.0%)
- Penicillins,N (%),240 (11.58%),0.0 (0.0%),226 (14.37%),0.0 (0.0%)
"- Cephalosporins, excl. Ceftriaxone",N (%),1059 (51.11%),0.0 (0.0%),852 (54.16%),0.0 (0.0%)
- Ceftriaxone,,,,,
- Carbapenems,N (%),149 (7.19%),0.0 (0.0%),89 (5.66%),0.0 (0.0%)
- Cotrimoxazole,N (%),62 (2.99%),0.0 (0.0%),89 (5.66%),0.0 (0.0%)
- Macrolides & Lincosamides,N (%),30 (1.45%),0.0 (0.0%),27 (1.72%),0.0 (0.0%)
- Aminoglycosides,N (%),78 (3.76%),0.0 (0.0%),10 (0.64%),0.0 (0.0%)
- Fluoroquinolones,N (%),311 (15.01%),0.0 (0.0%),359 (22.82%),0.0 (0.0%)
- Vancomycin,N (%),376 (18.15%),0.0 (0.0%),196 (12.46%),0.0 (0.0%)
- Metronidazol,N (%),285 (13.75%),0.0 (0.0%),191 (12.14%),0.0 (0.0%)
- Others,N (%),9 (0.43%),0.0 (0.0%),4 (0.25%),0.0 (0.0%)
"Antibiotics, started on ICU",N (%),1636 (78.96%),0.0 (0.0%),1142 (72.6%),0.0 (0.0%)
"Stopped antibiotics, events per patient",Median [IQR],"1.0 [1.0, 2.0]",0.0 (0.0%),"1.0 [1.0, 2.0]",0.0 (0.0%)
"Antibiotics, shortest treatment, days",Median [IQR],"1.63 [0.78, 3.5]",0.0 (0.0%),"3.34 [1.66, 5.01]",0.0 (0.0%)
"Antibiotics, full treatment, days",Median [IQR],"2.55 [0.98, 6.01]",0.0 (0.0%),"4.08 [2.38, 6.85]",0.0 (0.0%)
"SDD given, <14 days",N (%),900 (43.44%),0.0 (0.0%),784 (49.84%),0.0 (0.0%)
"Microbiology, culture results, at start",,,,,
- CNS,N (%),103 (10.28%),1070.0 (51.64%),123 (18.64%),913.0 (58.04%)
- Hospital pathogens,N (%),149 (14.87%),1070.0 (51.64%),147 (22.27%),913.0 (58.04%)
- Community pathogens,N (%),16 (1.6%),1070.0 (51.64%),7 (1.06%),913.0 (58.04%)
- Negative,N (%),902 (90.02%),1070.0 (51.64%),513 (77.73%),913.0 (58.04%)
- Missing,N (%),1070 (51.64%),0.0 (0.0%),913 (58.04%),0.0 (0.0%)
- Other,N (%),227 (10.96%),1070.0 (51.64%),233 (14.81%),913.0 (58.04%)
- Candida,N (%),4 (0.4%),1070.0 (51.64%),60 (9.09%),913.0 (58.04%)
"Microbiology, culture pathogenicity, at start",,,,,
- high,N (%),261 (26.05%),1070.0 (51.64%),258 (39.09%),913.0 (58.04%)
- medium,N (%),75 (7.49%),1070.0 (51.64%),64 (9.7%),913.0 (58.04%)
- low,N (%),110 (10.98%),1070.0 (51.64%),127 (19.24%),913.0 (58.04%)
- others,N (%),16 (1.6%),1070.0 (51.64%),61 (9.24%),913.0 (58.04%)
- none,N (%),902 (90.02%),1070.0 (51.64%),513 (77.73%),913.0 (58.04%)
"Microbiology, Gram stain, at start",,,,,
- Positive,N (%),231 (23.05%),1070.0 (51.64%),248 (37.58%),913.0 (58.04%)
- Negative,N (%),182 (18.16%),1070.0 (51.64%),135 (20.45%),913.0 (58.04%)
